Designator,Mid X,Mid Y,Rotation,Layer
C1,130.85,-140.05,-90.0,top
C2,130.8,-153.5,90.0,top
C3,166.9,-132.9,180.0,top
D1,113.05,-155.1,90.0,top
J1,103.89,-146.207,-90.0,top
J2,90.35,-105.1,0.0,top
J3,150.4,-134.4,90.0,top
J4,123.9,-79.2,0.0,top
R1,166.8,-128.1,0.0,top
R2,183.52,-109.3,180.0,top
R3,183.02,-115.9,180.0,top
R4,187.13,-109.25,0.0,top
R5,187.08,-115.55,0.0,top
SW1,178.2,-143.9,180.0,top
SW2,190.2,-143.9,180.0,top
SW3,202.15,-143.9,180.0,top
U1,139.62,-148.31,-90.0,top
U2,189.2,-109.6,90.0,top
U3,124.8,-120.15,-90.0,top
